person_id,institution,program
3274,"Art Institute of Pittsburgh-Online Division, GEORGIA SOUTHERN UNIVERSITY","Bachelor's in Game Art and Design, BACHELOR OF SCIENCE in MIS"
3275,"PLATT COLLEGE SAN DIEGO, Platt College San Diego, University of Colorado at Boulder","B.S. Media Arts in Web Design, A.A.S. in Graphic Design, Business, Marketing"
3276,Rensselaer Polytechnic Institute,"Bachelor's in Electronic Media, Arts, and Communication (EMAC)"
3277,"LaGuardia Community College of The City University of New York, New York Real Estate Institute","Associate of Science in Computer Science, Real Estate"
3278,,
3279,"Islamic Azad University, Shahid Bahonar University of Kerman","Master in Computer Software Engineering, Bachelor in Computer Science"
3280,Art Institute of Jacksonville,BACHELOR OF ARTS in INTERACTIVE MEDIA DESIGN
3281,Spencerian College,Associates in Applied Science in Applied Science
3282,"New York University, University of Mumbai","Master of Science in Computer Engineering, Bachelor of Engineering in Electronics Engineering"
3283,Madras University,Bachelors in Computer Science Engineering
3284,Universidad del Valle de Mexico,Graphic Design
3285,University of Washington,B.S. in Informatics - Information Architecture
3286,Bachelor's,
3287,The City College of New York,Bachelor of Arts in Psychology
3290,University of Washington,Bachelor's in Geology
3291,"Minneapolis Community and Technical College, University of Wisconsin","A.A.S in Web Design, Bachelor's in Film, French Literature"
3293,Queens College City University of New York,Bachelor of Science in Computer Science
3294,Northern Arizona University,Bachelor of Science in Applied in Computer Science
3295,"California State University - Long Beach, Bellflower High School","B.S. in Engineering, High School Diploma"
3296,University of Illinois at Champaign,Bachelor's in Environmental Science
3297,Full Sail University,"Bachelor of Science in Web Design and Development, Associate of Science in Recording Arts"
3298,"Udacity School of Computer Science, Wake Technical Community College, Stratford Career Institute, University of Lome","Database Management Systems, Diplomat, BS in Mathematics and Physics"
3299,,
3300,University of North Texas,Computer Science
3301,"California State University, San Marcos, Mt. San Jacinto College","B.S in Computer Information Systems, A.S in Computer Information Systems"
3303,Art Institute of Fort Lauderdale,Bachelors of Science in Visual Effects and Motion Graphics
3304,West Salem High School,Diploma
3305,"Rutgers Coding Bootcamp, Rutgers, The State University of New Jersey","Full-Stack Flex Program, B.S. in Animal Science"
3306,University of Mumbai - MMK College,Bachelor's Degree in Commerce in Business Administration
3307,University of Houston,Certificate in Web Applications Development
3308,"Cranbrook Academy of Art, Missouri State University","MFA in 2D Design, BFA in Animation / Sculpture"
3310,,
3311,"Treehouse, University at Buffalo, SUNY Fredonia","Techdegree in Front End Web Development, Master's Degree in Education in Music, Bachelor's Degree in Music Education in B.M.E"
3312,"Art Institute of California - Hollywood, CA",Bachelor of Science in Web Design & Interactive Media
3313,,
3314,San Jose State University,Bachelor of Fine Arts in Digital Media
3316,"Fullsail University, University of Florida","Associate of Arts in Computer Animation, Bachelor of Arts in Liberal Arts"
3318,"University of Bridgeport, Shanghai Dianji University","Master in Computer Science, Bachelor in Computer Science"
3319,"Georgia Tech, The Community College of Baltimore County, University of Maryland","Full Stack Web Development Bootcamp, Associate in Nursing, Bachelor's in Psychology"
3320,TRUMAN STATE UNIVERSITY,Bachelor of Science in Computer Science
3321,"McHenry County College, Neumont University, Huntley High School","Associate in Graphic design, Associate in Web design and development, Diploma in Generals"
3322,"Wilmington University, Jawaharlal Nehru technological University","Master's in Information Assurance, Bachelor of Technology"
3323,"ECPI University, Moore College of Art & Design","Bachelor's in Computer & Information Science in Web Development, B.F.A in Illustration"
3324,Central State University,Bachelor's in MIS
3325,Bachelor's,
3326,West Texas A & M University,Bachelor's in Computer Science
3331,Texas A&M University,Master of Science in Computer Science
3332,Wilmington University,Master's Degree in Computer Information Systems
3333,"University of Central Florida, Brevard County Community College/East Florida State College","History, Associate of Science"
3334,"Davis and Elkins College, Westminster Senior Highschool","BA (not obtained yet) in History and Computer Sciences, Diploma in General Studies"
3335,Wake Technical Community College,Associate's Degree in Web Development
3336,Western Washington University,Bachelor's in Design: New Media
3337,Thomas Aquinas College,Bachelor of Arts in Liberal Arts
3338,,
3339,Columbia Basin College,Associates of Arts and Sciences in Arts and Sciences
3340,"University of North Texas, Osmania University","Master of Science in Computer Science, Bachelor of Engineering in Computer Science"
3341,University of California - Irvine,B.S. in Computer Science
3343,"Cal. State Fullerton, Fullerton Jr. College, Cypress Jr. College","Bachelor of Arts in Computer Science, Associates in Computer Science/Business Mgmt, Associates in Computer Science"
3344,"Cerritos College, Fullerton College, Mt. San Antonio College","Associate in Computer Science, General Education, CompTIA A+ Network+ in Computer Science"
3345,,
3346,,
3347,"Wilmington University, Jawaharlal Nehru technological University","Master's in Information Assurance, Bachelor of Technology"
3348,New York University Tandon School of Engineering,Integrated Digital Media
3349,"Charleston School of Law, Presbyterian College","JD in Law, Bachelor's in Spanish"
3350,The College of William & Mary,Bachelor of Arts in Government and American Studies
3351,"The Iron Yard Academy, Greenville Technical College, Wren High School",Front End Engineering
3352,"University of Irvine, University of Phoenix",Bachelors in Computer Science
3353,University of Houston Clear Lake,Bachelor of Science in Computer Information Systems
3354,CSU Chico,Bachelor's in Internet Communications
3355,"North Carolina State University, Syracuse University","Master of Financial Mathematics, Bachelor of Science in Computer Engineering"
3356,University of North Carolina at Chapel Hill,BSBA degree in Entrepreneurship
3357,Louisiana State University - E.J. Ourso College of Business,BS in Information Systems & Decision Sciences in Information Systems
3358,Pokhara University,Bachelor's in Software Engineering
3359,Trinity College,Bachelor of Science in Education
3360,Universidad Mariano Gálvez,Bachelor's in Computer Science
3361,Master's,
3362,University of Arizona,Bachelors of Science in English
3364,Petra University,B.A. in Graphic Design
3365,"LAGUNA COLLEGE OF ART, ART CENTER COLLEGE OF DESIGN, CYPRESS COLLEGE","Fine Arts, Marketing and Design, Graphic Design / Fine Arts"
3366,"University of South Florida, State College of Florida","Bachelor of Science in Web Development and Design, Associates of Science in Information Technology"
3367,Wisconsin Indianhead Technical College,Associates Degree in Information Technology Web Programmer/Analyst
3368,Kansas State University,Bachelor's of Art in Graphic Design and Web Design
3369,"Texas A&M University, Texas State Technical College","BACHELOR OF SCIENCE in BUSINESS, ASSOCIATES OF APPLIED ARTS AND SCIENCE in Web Design and Development Program"
3371,"MUMBAI UNIVERSITY, INDIAN EDUCATION SOCIETY (IES)","BACHELOR OF INFORMATION TECHNOLOGY in INFORMATION TECHNOLOGY, SECONDARY SCHOOL CERTIFICATE"
3372,"Ohio State University, Wittenberg University","Bachelor of Science in Electrical and Computer Engineering, Bachelor of Arts in Physics"
3374,"Colorado Christian University, Galvanize","Bachelor of Business Administration in Economics and Marketing, Immersive Web Development in Web Development"
3375,"Northwestern University, Fullstack Academy, Oakton Community College, Westwood Technical College","Certified Fullstack Web Development in Education, Intro to JavaScript, Associate of Applied Science in Graphic Design & Multimedia"
3376,"Silicon Valley University, ANU University","Master's in computer science, Bachelor's in Computer's"
3377,University of La Verne,Bachelor of Arts
3378,"General Assembly, University of South Australia, Adelaide University","Certificate of Completion in Software Engineering Immersive, Master's in Arts & Cultural Management, Bachelor's in Music"
3379,Anna University,Bachelor of Engineering in Computer Science & Engineering
3380,"Capella University, Hamline University","Master of Business Administration in Business Administration, Bachelor of Arts"
3381,Illinois Institute of Technology,Master of Science in Computer Science
3382,,
3383,"Brigham Young University - Provo, UT",BS in Special Education in Severe
3384,Dickinson College,B.A. in English in Liberal Arts
3385,"University of Central Florida, Valencia College","Bachelor's Degree in Digital Media, Associate's Degree"
3386,The University of Central Florida,Bachelor of Science in Information Technology in Information Technology
3388,"Benjamin Banneker High School, Devry University",Diploma
3389,"SBS Computer Academy, The College of Wooster, University of Edinburgh","Bachelor of Arts in Computer Science, Informatics"
3390,Montclair State University,B.S in Computer Science
3391,University of North Carolina at Charlotte,Bachelor's in Computer Science
3392,"Hack Reactor, University of Washington","Advanced Software Engineering Program, Bachelor's in International Studies"
3393,Tufts University,Bachelor in English
3394,University of Guam,"Certification, Teacher 1-B CLCP (Chamorro Language and Culture Program)"
3395,"Taipei High School, Udacity","Graphic Design, Nanodegree in Front-end Web Developer"
3396,"Technical University in Białystok, Technical college","Computer Science Engineering, Technique of Digital Graphic Processions"
3397,"Concordia University-Wisconsin, Northwestern Coding Bootcamp","Bachelor's in Mass Communication, Business Communication, Certificate of Completion in Full-Stack Web Development"
3398,"ITT Technical Institute - Greenville, SC",Associates of Applied Science in Multimedia
3399,"DevMountain, University of Missouri-St Louis","Web Development, Criminology and Criminal Justice"
3402,Chubb Institute,Visual Communications
3403,Full Sail University,Associates
3404,University of Toronto,Bachelor's in Computer Science
3405,University of Pittsburgh,Information And Computer Science
3406,"UCLA Extension, Charles R. Drew University",CPT Certification
3407,Allegheny College,Bachelors of Science in Managerial Economics
3408,Rutgers University of New Brunswick,Bachelor of Science in Computer Science
3411,,
3412,University of Nebraska Omaha,Bachelors in Information Systems Management
3413,"Strayer University, Wake Technical Community College","BS in Information System Networking, Associate Degree"
3414,"University of Phoenix, Hampton University","Master's in Information Systems, Bachelor's in Graphic Design"
3415,"West Hills High School, Thinkful","High school or equivalent, Web Development"
3416,Bachelor's,
3417,Reed College,Bachelor of Arts in Chemistry
3418,Arizona State University,"Masters of Science in Graphic Information Technology, Bachelor of Science in Graphic Information"
3420,"University of North Carolina at Charlotte, University of North Carolina at Wilmington",
3421,San Francisco State University,B.S. in Accounting
3422,Bachelor's,
3423,The Ohio State University,Bachelor of Arts in French
3424,New Mexico State University,B.S. in Biology & Chemistry
3426,"Davis Applied Technology College, University of Utah","Digital Media Design, Bachelors in Political Science"
3427,Norilsk,Bachelor's in Electrical
3428,DePauw University,
3429,Universidad Autónoma de Aguascalientes,Bachelors in Graphic Design
3430,University of Arizona,Bachelors of Science in Information Science and Technology
3431,"The Art Institute of California, UCLA Extension, Udemy","Bachelor of Science in Web Design and Interactive Media, Extended Education Course in JavaScript and DOM Scripting, Certificates of Completion in Blogging Tools That Will Make You a Better Blogger"
3432,JNTU,Bachelor of Computer Science & Technology in Computer Science & Technology
3433,University of Houston,Bachelor of Arts in Communications - Public Relations
3434,KANSAS STATE UNIVERSITY,BACHELOR'S in COMPUTER SCIENCE
3436,"California University of Management of Sciences, Jawaharlal Nehru Technological University","master's, bachelors in Electronic and communication engineering"
3437,Salisbury University,Bachelor's in Computer Science & Mathematics
3438,Kean University/Robert Busch School of Design,BFA in Visual Communications
3439,"Northland Pines High School, Udacity, Coursera","Independent Studies in Front End Development, Nanodegree in Front End Web Development, Certificate in Google IT Support Professional"
3440,"University of California - Irvine, CA",BA in Psychology
3441,Northeastern University,Master of Science in Digital Media
3442,"University of Chicago, Indiana University","Bachelor of Science in Computer Science, School of Informatics"
3443,"Wilmington University, Jawaharlal Nehru technological University","Master's in Information Assurance, Bachelor of Technology"
3444,High public scholl ?81,
3446,"DevMountain, Spokane Falls Community College","Full-Stack Web Development, Audio Engineering"
3447,University of Texas at El Paso (UTEP),Bachelor of Science in Computer Engineering
3448,California State University-Northridge,Bachelor's in Psychology
3450,Marion Technical College,Associate of Applied Business in Software Development
3451,The City College of New York,Bachelor's in Economics
3452,"University of Nevada Las Vegas, Vocational school in ReactJS","Bachelors, ReactJS"
3453,UCR,BS in Computer Science
3454,"Valencia College, UCF, AUDIO RECORDING TECHNOLOGY INSTITUTE","Associate in Web Analysis and programming, Certification in Web Development, Tech Cert."
3455,"University of Phoenix, Marion Abramson High School",Business Management
3456,"The Art Institute of California - San Bernardino, CA",Bachelor of Science degree in Design and Interactive Media
3457,Stevens Institute of Technology,Master of Electrical Engineering in Electrical Engineering
3458,"De Anza College, UC Hastings College of the Law","BA, JD"
3459,DePaul University,Bachelor's in Communication & Media
3460,"The University of Texas at Arlington, Tarrant County College","Bachelor's in Communication Technology, Associate in Web Development"
3461,Colegio Perpetuo Socorro,RESPONSIVE DESIGN
3462,Columbia College-Chicago,"Cinema Art + Science, Screenwriting"
3463,BRIGHAM YOUNG UNIVERSITY,B.S. in Economics and B.S. in Business Management in Finance
3464,Universidad Autonoma de Occidente,Bachelor's in Multimedia Engineering
3465,"Novosibirsk State University, Johns Hopkins University","Bachelor's in Law, Certificate in Single Page Applications with AngularJS, Certificate in HTML, CSS, and Lavasxcript for Web Developers"
3466,"Kingsborough CC, Black Sea University",Computer Science
3467,Integrated Information Systems,"Troy, MI"
3468,"Jorge Tadeo Lozano University, University of Central Florida","Bachelor of Industrial Design in InternSystems Cache, Full Stack Developer"
3469,University of California - Irvine,B.S. in Informatics
3470,"Art Institute of Ft. Lauderdale, Cross Creek School, Atlantic Vocational","Graphic Design, High School Diploma, A+ Computer Repair"
3471,THE UNIVERSITY OF ILLINOIS AT CHICAGO,B.S in MATHEMATICAL COMPUTER SCIENCE
3472,"Pratt Institute, Moscow Coding School, MADS, Russian Foreign Trade Academy","Certificate in Front-End, Ux/UI/ Motion Design, Certificate in HTML, CSS, JavaScript, Certificate in Creative Thinking, Bachelor's in International Law"
3473,Miami Dade College,Bachelor's in Computer Science
3474,"University of Texas at Austin, Full Sail University","Full Stack Development and Cloud Solutions, Master's in Business and Digital Mkt, Bachelor's in Economics"
3475,Technical College of Applied Studies,Engineer of Printing Technology
3476,Art Institute of Philadelphia,"Associates in Wed Design & Interactive Media, Certificate in Graphic Design, Associates in Fashion Design"
3477,"College of Dupage, Federal Institute of Science And Technology, Amrita School of Arts and Sciences","Web and Graphic Design, Master of Computer Applications (MCA) in Computer Science, Bachelor of Computer Applications (BCA) in Computer Science"
3478,State University of New York at New Paltz,BS in Visual Arts Education
3479,Fairfield University,Bachelor of Science in Software Engineering
3480,"The University of the Arts, Lower Merion High School","B.F.A. in Animation, High school or equivalent"
3481,"University of Wisconsin - Milwaukee, Collins College","BA in Fine Art, AA in Visual Communication"
3482,SCHOOL OF ECONOMIC AND COMMERCIAL TECHNICS,BS in IT and Networks
3483,Huaqiao University,Bachelor's in Software Engineering
3484,"VIT University, Delhi Public School, Rajghat Besant School","B.Tech in EIE, CBSE"
3485,SUNY at Albany,"Master's in Information technology, Bachelor's in Informatics concentration in Software Development and Data analytics minor in Computer Science"
3486,The Art Institute of Atlanta,Bachelor's in Interactive Media and Design
3487,"San Diego Continuing Education, Seton Hall University, Gregorian University","Front End Web Developer Certificate in Front End Web Development, Master of Arts in Counseling, Bachelor of Arts in Philosophy"
3488,"College Park MD, Montgomery College - Rockville, MD","BS in Computer Sience, AS in Computer Sience"
3489,"CALIFORNIA STATE UNIVERSITY FULLERTON, JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY","Masters in Computer Science, Bachelors in Computer Science"
3490,"Louisiana Tech University, El Centro College, University of California: San Diego (Online), Southern Methodist University","Bachelor of Science in Business Management, Web Application Development Certification, Human Computer Interaction Specialization Certificate, User Experience Certificate: Usability Testing Course"
3491,Virginia Tech,Master's in Literature
3492,Universidad Tecnológica del valle de Toluca,Engineering Information and Communication Technologies
3493,Edinboro University of Pennsylvania,B.F.A. in APPLIED MEDIA ARTS/GRAPHIC DESIGN
3494,Utah State University,Bachelor's in Computer Science
3495,"Embry Riddle Aeronautical University-Daytona Beach, Udacity","Bachelor's in Computer Engineering, Nanodegree in Front End Web Development"
3497,"SALEM STATE COLLEGE, SUFFOLK UNIVERSITY",
3498,LaGuardia Community College,Associates of Arts in Liberal Arts
3499,"Georgia Institute of Technology, Anna University","Master of Science in Computer Science, Bachelor of Science in Information Technology"
3500,Ohio State University,Bachelor's in Marketing
3501,St. John's University,"BA in English, Communications"
3502,"Betamore Academy, University of the People",Computer Science
3503,University of Washington,Bachelor of Science in Informatics
3504,"SUNY Polytechnic Institute, Rockland Community College","Bachelor of Science in Interactive Media and Game Design, Associates of Science in Computer Information"
3505,"Sierra College, Core Placer Charter","Digital Media Certificate in Communications, High school or equivalent"
3506,Wichita State University,B.S. in Computer Engineer
3507,Durban University of Technology,National Diploma in Information Technology
3509,"Northern Arizona University, Eastern Arizona College",
3510,University of California - San Diego,
3511,Nagoya University of Foreign,Bachelor's in Japanese Studies
3512,Colorado Technical University,"Bachelor of Science in Cyber Security in computing, and Disaster"
3513,University of TN,BFA in Painting
3515,"National College of Ireland, FAS Training Centre, National College of Art and Design","Master of Science in Web Technologies, Higher National Diploma in Science in Web Technologies, Certificate in Advanced Digital Imaging - Adobe Illustrator CS5, Certificate in Advanced Digital Imaging - Adobe Photoshop CS5, Bachelor of Design Honours in Visual Communication"
3516,,
3517,International University,Diploma in profession Faculty of International Economic Relations and Management
3518,"University of Wisconsin - La Crosse, Baraboo High School",B.S. in Finance and Information Systems
3519,Pokhara University,Bachelor's in Software Engineering
3520,Virginia Polytechnic Institute and State University,Bachelor's in Philosophy & English Professional Writing
3521,"University of New Haven, K. J. Somaiya Institute of Engineering & I.T., NIIT","Master of Science in Computer Science, Bachelor of Engineering in Computer Science, Diploma in Dot Net Technology"
3522,California State University Fullerton,B.A. in Communication Studies in Advertising
3523,"Florida International University, Treehouse, Florida Vocational Institute (Techlaunch Web Developer Bootcamp)","Bachelor of Science in Criminal Justice, Full Stack Javascript Techdegree, Certification in Full Stack Web Developer"
3524,High school or equivalent,
3525,"Grantham University, Georgia Gwinnett College","M.S. in Information Management Technology, B.S. in Information Technology"
3526,Horizon High School,High school or equivalent
3527,"Fairleigh Dickinson University, Sussex County College","B.S. in Political Science, A.S. in Business Administration"
3528,University of Arkansas at Fort Smith,"Bachelor's in Graphic Design, Associate in Graphic Design"
3529,"Jawaharlal Nehru Technological University, University of Missouri","Bachelors in Computer Science Engineering, Masters in Computer in Software engineering"
3530,Utah State University,B.A. in English
3531,"The Corcoran School of Art, Parsons School of Design","BFA in Fine Arts, Fine Arts"
3532,Maryland Institute College of Art,"Master's in Master of Arts in Teaching, Bachelor's in Interaction Design"
3533,Northeastern University,Master degree in Electrical & Computer Engineering
3534,University of Computer Science,Bachelor's in Computer Science (Summa Cum Laude)
3535,"California State University-East Bay, Foothill College, Portnov Computer School","Bachelor of Science in Computer Science, with option in Software Engineering, Associate of Science in Internet Technology, with specialty Web Programming, Certificate in Software Quality Assurance"
3536,"San Francisco State University, General Assembly","Master's in Business Adminstration, Bachelor's in Business Administration, Management, Product Management Course"
3537,The University of North Carolina at Greensboro,B.S. in Information Systems and Supply Chain Management
3538,"Johns Hopkins University, Wake Technical Community College","Certification in Web Development, Computer Information Technology in Computer Informatics"
3539,"Loyola University Chicago, Trinity College Dublin",B.S. in Computer Science
3540,JNTU,B.Tech
3541,"Utah State University, Salt Lake Community College","Bachelor of Science in Art & Design, Associate of Science in General Education"
3542,American River College,AA Degree in Database Management
3543,"California State University Northridge, University of California Irvine, Los Angeles Pierce College","Master of Science in Electrical Engineering, Bachelor of Science in Computer Engineering, Certificate of Achievement in Web Development, Certificate of Achievement in Web Development, Programming and Scripting"
3545,"Chicago State University, Vinayaka Missions University","Master's Degree in Computer Science, Bachelor's Degree in Computer Science"
3546,Some college,
3547,Vignan University,Bachelors of Engineering in Engineering
3549,Cochise College,Associate in Intelligence Operations Studies
3550,"University of Georgia, Georgia Gwinnett College","Master's in Business and Technology, Bachelor's in Business Administration, Concentration in Marketing"
3551,University of Phoenix,Bachelor of Science in Information Technology
3552,Barnard College,Bachelor's in English
3553,"Duke University, General Assembly, Houston Community College","BA in Literature, Visual Arts, Web Development Immersive, CompTIA A+"
3554,"Cuyahoga Community College, Trinity High School, Free Code Camp","Graphic Design, Advertising & Designer, Interactive Media, Full Stack Web Development in Computer Software Engineering"
3555,"Gujarat Uni., G.S.H.S.E.B.","B.C.A, H.S.C, S.S.C"
3556,University of New Mexico,"M.A. in Sociology (Social Statistics focus), B.A. in History"
3557,Purdue University,Bachelor's in Computer Engineering
3558,The University of North Carolina at Greensboro,B.S. in Information Systems and Supply Chain Management
3559,University of California Davis,Psychology
3560,Westmoreland County Community College,"Associate in Business, Marketing Opt."
3561,"Flatiron School, Northeastern University D'Amore McKim School of Business",Bachelor of Science degree in Business Administration-Marketing/Management
3562,Sam Houston State University,Bachelor of Arts in Journalism
3564,"Central Connecticut State University, Launch Academy","Bachelor of Science degree in Exercise Science and Health Promotion, Full Stack Web Development"
3565,"Illinois Institute of Technology, Ohio University-Main Campus","Master's in Computer Science, Bachelor's in Computer Science"
3566,Portland State University,Bachelor's in International Relations
3567,Delaware State University,Bachelor of Science in Computer Science
3568,"University of Maryland, College Park",Bachelor of Science in Computer Science
3569,Colorado Technical University,"Bachelor of Science in IT - Information Security Engineering, Master of Science in IT - Strategic Security Management"
3570,Arizona State University,Bachelor of Science in Biological Sciences
3571,Stevens Institute of Technology,M. S. in Electrical & Data Engineering
3572,WASHINGTON HIGH SCHOOL,
3573,Berklee College of Music,Bachelor of Music in Electronic Production and Design
3574,Bachelor's,
3575,,
3576,"Central Connecticut State University, Glastonbury High School","Bachelor of Science in Mechanical Engineering Technology, High School Diploma"
3577,"Art Institute of New York City, School of Visual Arts",Associates in Web Design & Interactive Media
3578,THE OHIO STATE UNIVERSITY,BACHELOR'S in COMPUTER SCIENCE
3579,University of Houston,Masters in Computer Science
3580,Golden State Technology Institute,
3581,"University of Toledo, Bowling Green State University","Certificate in Web Design, Bachelor of Liberal Studies in Liberal Studies"
3582,"Arleta High School, Los Angeles Mission College (LAMC)","High School Diploma, Computer Science"
3583,Bachelor's,
3584,Bachelor's,
3585,The Art Institute of Las Vegas,Bachelor's in Web Design and Interactive Media
3586,James Madison University,BFA in Graphic Design
3587,"Arizona State University-Tempe, Cornell University, Utah Valley University, Provo Fire and Rescue Academy, East Hollywood High School","Master's in Digital Audiences Strategy, Certificate in Digital Marketing, Bachelor of Science in Art and Design, Certificate in Emergency Services/ Fire Science, High School Diploma"
3588,"Clemson University, Camden High School","Bachelor's, High school or equivalent in College-prep"
3589,,
3590,"University of Tennessee at Chattanooga, Buchanan High School",Nutrition/Exercise Science
3591,Seattle Central Creative Academy,Associate of Applied Science in Graphic Design
3594,college,BTech in Electronics and Communication Engineering
3595,University of Missouri Columbia / St. Louis,B.F.A. in GRAPHIC DESIGN
3596,"The Iron Yard - Indianapolis, IN",Front-End Development Bootcamp
3597,Brigham Young University,Bachelor's in Web Design and Development
3598,"Platt College, California State Polytechnic University",Certification in Software Development and Coding
3599,"Savannah College of Art and Design, Beijing Film Academy","Master's in Visual Effects, Bachelor's in Computer Game"
3600,University of North Georgia,Computer Science Degree in Medical Courier
3602,The University of Memphis,BS in Computer Science
3603,JNTU University,Bachelor of Technology in Computer Science and Engineering
3604,University of Southern California,Business Administration
3605,"University of Massachusetts - Boston, University of Massachusetts - Dartmouth, Fontbonne Academy","Bachelor's in Social Psychology, Psychology, High School Diploma"
3607,College of Charleston,B.A. in Political Science
3608,"Walden University, ITT Technical Institute","Bachelors in Information Technology, Database Administration and Data Center Operations, Associate in Visual Communications"
3609,Drexel University,Bachelor's in Digital Media with a minor in Information Systems
3610,"Washington University, Olin Business School",Masters of Business Administration in Business Administration
3611,"Millburn High School, New York University",
3612,GITAM University,Technology
3613,"Georgia College, Eastern Michigan University","MFA in ENGLISH, B.A. in ENGLISH"
3614,Full Sail University,Bachelor of Science in Digital Arts & Design
3615,"Franklin University, University of Lagos","MBA, B.Sc in business"
3616,"American College Consortium, Art Institute of Philadelphia","certificate, Design"
3617,"Harper College, Islamic Azad University","Bachelor of Science, Bachelor of Science in Chemical Engineering"
3618,"Stony Brook University, State University of New York, TaiYuan University of Science and Technology, San Francisco State University","Master of Science in Engineering in Engineering, Bachelor of Engineering in Engineering, Engineering"
3619,JNTU,Bachelors in Information Technology
3620,"FULL SAIL UNIVERSITY, GLOUCESTER COUNTY COLLEGE","BACHELOR OF SCIENCE in WEB DEVELOPMENT, ASSOCIATE OF APPLIED SCIENCE IN COMPUTER GRAPHIC ARTS"
3621,"New Paltz State University of New York, Vignan University","Master's in computer science, Bachelor of Technology in Computer Science"
3622,Southeast Community College,Associates of Applied Science in Computer Information Technology
3623,Reed Custer Hight School,General Studies
3624,Rutgers University of New Brunswick,Bachelor of Science in Computer Science
3625,Pokhara University,Bachelor's in Software Engineering
3626,Some college,
3627,"Carnegie Mellon University, Columbia University","BS in Information Systems, MS in Urban Planning / Urban Design"
3628,"University of Maryland - Baltimore, MD, Admiral Makarov National University of Shipbuilding","MS IN HUMAN CENTERED COMPUTING in design, BE in SOFTWARE ENGINEERING"
3630,"University of Delaware, Bishop Loughlin Memorial High School",Bachelor of Science in Electrical Engineering
3631,BFA in Graphic Design Cum Laude of Technology,Graphic Design
3633,"Chicago State University, Vinayaka Missions University","Master's Degree in Computer Science, Bachelor's Degree in Computer Science"
3634,"DeVry University, Full Sail University","Bachelor of Science in Multi-Media Design and Development, Game Art"
3635,"University of New Hampshire-Main Campus, Northeastern University","Creative Writing, Liberal Arts"
3636,"Binghamton University, State University of New York",Bachelor of Science in MIS and Finance
3637,"Novosibirsk State University of Architecture, Novoaltaysk Art College",Bachelor of Graphic Design in UI Design
3638,Cal State Long Beach,B.S. in Computer Science
3639,"Seminole High School, Saint Petersburg College","High school or equivalent in Computer Science, A.A.S. in IT Security"
3640,"Northwestern Polytechnic University, Osmania University","Masters, Bachelors"
3641,"General Assembly WDI, University of Dhaka","Master's in business administration in Finance, MBA in General"
3642,The Art Institute of Jacksonville,A.A. in Web Design and Interactive Media
3644,"University of the Arts, Moore College of Art","Certificate in Visual Communications and Web Design, B.F.A. in Textile Design"
3645,"University of the Sciences, Quinnipiac University","Masters of Occupational Therapy in Occupational Therapy, Bachelor of Arts in Interactive Digital Design"
3646,"University of California, San Diego, Hack Reactor Remote","BS in Electrical Engineering, Full Stack Software Engineering"
3648,University of Central Missouri,Masters in Computer Science
3649,"The University of Phoenix, The Illinois Institute of Art","Bachelor of Science in Information Technology, Bachelor of fine arts in Web Design and Interactive Media"
3650,New York Institute of Technology,B.F.A in M.A. Communication
3651,"Northern Kentucky University, Thinkful","BA in GRAPHIC DESIGN, Front end web development"
3652,North American University,Master in Computer Science
3653,"Walden University, Clayton State University, freeCodeCamp","Graduate Certificate in Information Systems Management, MS in Information Technology in Software Engineering, Bachelors of Science in Communication and Media Studies, Certificate in Responsive Web Development"
3654,"Web Design & Interactive Media Art Institute of Pittsburgh, Moscow State University","Bachelor of Science in Education, Education"
3655,"Pasadena City College, Lincoln Academy High School","General Education, High School Diploma"
3656,"University of Rzeszow, Bohaterow Wrzesnia Information Technology Technical School in Jaslo","Master's in Computer Science, Bachelor's in Computer Science, High school or equivalent in Information Technology"
3657,George Mason University,B.S. in Applied
3658,MIAMI DADE COLLEGE,Associate of Arts in Computer Science
3659,The University of Akron,B.F.A. in Graphic Design
3660,"Utah Valley University, The Web Developer Bootcamp","Bachelor of Science in Construction Management, Graduate in Software Engineergin"
3661,"City University of New York - College of Staten Island, New York University - School of Professional Studies","Bachelor's in Communications: Design and Digital Media, Web Development, Websites for Mobile Devices, Advanced Web Development"
3662,"University of Central Missouri, Technology Kakatiya University",Master of Science in Computer Science
3663,James Madison Online High School,Diploma
3664,University of Montana,Bachelor of Science in Geography in ESRI Geographic Information Systems Certificate
3665,"USC, School of Visual Arts","Masters in Communication Management, B.F.A in Photography & Film"
3666,University of Oregon,Bachelor's in Spanish
3667,"Tiffin University, Apollo Career Center, Shawnee High School","BA in Psychology/Corrections, Certification in Information Technologies/Internet Design, High School Diploma in Academics"
3668,"Detroit School for Digital Technology, Michigan State University, Google Computer Science Summer Institute","Bachelor of Science in Information/Communication Technology, Certificate of Completion in JavaScript, HTML, XML, XHTML, CSS and AJAX"
3669,"Georgia Piedmont Technical College, Valdosta State University, Stockbridge High School","Associate in Design & Media Production Technology, Business Administration, High school or equivalent"
3670,Brigham Young University,Bachelor of Science in Computer Information Technology
3671,Bellingham Technical College,Associate in Computer Networking
3673,High school or equivalent,
3674,RGPV University,B.E.
3675,"Wilmington University, Jawaharlal Nehru technological University - Hyderabad, Telangana","Master's in Information Assurance, Bachelor of Technology"
3676,"JNTU - Hyderabad, Telangana",Bachelors in Electronics and Communication
